previous_education_percentage,annual_income,other_scholarship,eligible,academic_percentile,financial_need_index,scholarship_history_score,top_student_flag,low_income_flag,egrantz_eligible,level_PG,level_UG,stream_BA Economics,stream_BA English,stream_BCom Finance,stream_BSc Chemistry,stream_BSc Mathematics,stream_BSc Physics,stream_MA English,stream_MCom Finance,stream_MSc Mathematics,gender_Female,gender_Male,caste_category_General,caste_category_OBC,caste_category_SC,caste_category_ST
78.8,343677,1,0,0.7879999999999999,2.9097003590570244e-06,1.5,0,0,0,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False
76.3,355614,0,0,0.763,2.812029863757153e-06,0.0,0,0,0,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False
64.7,475369,0,0,0.647,2.103624545091192e-06,0.0,0,0,0,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False
54.5,641304,0,0,0.545,1.5593204481486967e-06,0.0,0,0,1,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
71.9,476620,0,0,0.7190000000000001,2.098103104982785e-06,0.0,0,0,0,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False
76.5,346311,0,0,0.765,2.887569590427129e-06,0.0,0,0,1,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
75.0,79948,0,1,0.75,1.250797383331874e-05,0.0,0,1,0,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False
59.7,292801,0,0,0.597,3.415277218051789e-06,0.0,0,0,1,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
61.2,58739,0,1,0.612,1.7024174327545114e-05,0.0,0,1,1,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False
66.3,248515,1,0,0.6629999999999999,4.023885786025849e-06,1.5,0,0,1,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
75.3,576345,0,0,0.753,1.7350688648832473e-06,0.0,0,0,0,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False
77.5,214770,0,1,0.775,4.6561221021460066e-06,0.0,0,0,1,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
82.1,128973,0,0,0.821,7.753500705568565e-06,0.0,0,1,0,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False
82.3,671512,1,0,0.823,1.4891744463621702e-06,1.5,0,0,0,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False
67.8,65831,1,0,0.6779999999999999,1.5190181066958317e-05,1.5,0,1,0,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False
63.7,377891,1,0,0.637,2.6462587194224804e-06,1.5,0,0,0,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False
82.2,534183,0,0,0.8220000000000001,1.8720141374507661e-06,0.0,0,0,0,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False
85.0,334059,0,0,0.85,2.9934742261869123e-06,0.0,1,0,0,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False
57.9,263513,1,0,0.579,3.794864788967569e-06,1.5,0,0,0,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
81.7,288226,0,0,0.8170000000000001,3.4694875913776293e-06,0.0,0,0,0,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False
73.8,172110,0,0,0.738,5.810203880054151e-06,0.0,0,1,1,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False
70.2,648750,0,0,0.7020000000000001,1.5414234428925736e-06,0.0,0,0,0,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False
81.6,613619,0,0,0.816,1.6296730875786316e-06,0.0,0,0,0,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False
58.2,181450,0,0,0.5820000000000001,5.511129726482632e-06,0.0,0,1,1,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
58.5,647561,0,0,0.585,1.5442536776401333e-06,0.0,0,0,0,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False
78.5,404970,0,0,0.785,2.4693126174466813e-06,0.0,0,0,1,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False
78.0,585274,0,0,0.78,1.7085985220622785e-06,0.0,0,0,0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
83.1,501311,0,0,0.831,1.9947657347121154e-06,0.0,0,0,1,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
64.9,618558,0,0,0.649,1.6166606580778876e-06,0.0,0,0,0,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False
86.9,342138,0,0,0.8690000000000001,2.9227886911459962e-06,0.0,1,0,0,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False
65.5,687557,0,0,0.655,1.4544227541531041e-06,0.0,0,0,1,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
75.7,372828,0,0,0.757,2.6821947863497745e-06,0.0,0,0,1,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
73.2,677619,0,0,0.732,1.4757533720964552e-06,0.0,0,0,0,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False
79.0,105566,0,1,0.79,9.472657175064177e-06,0.0,0,1,1,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False
72.8,654384,0,0,0.728,1.5281523873560673e-06,0.0,0,0,0,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False
69.9,150451,0,1,0.6990000000000001,6.646638130433627e-06,0.0,0,1,1,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False
79.4,137974,0,1,0.794,7.2476897988766085e-06,0.0,0,1,0,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False
70.6,281945,1,0,0.706,3.5467784611237614e-06,1.5,0,0,1,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
73.4,178734,1,0,0.7340000000000001,5.594875094413517e-06,1.5,0,1,1,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
77.2,398953,0,0,0.772,2.506554640384606e-06,0.0,0,0,1,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
68.6,388772,0,0,0.6859999999999999,2.5721950855640697e-06,0.0,0,0,0,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False
69.0,512721,0,0,0.69,1.9503746669735257e-06,0.0,0,0,1,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False
72.8,654384,0,0,0.728,1.5281523873560673e-06,0.0,0,0,0,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False
70.3,446001,0,0,0.703,2.2421424119174353e-06,0.0,0,0,0,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False
75.3,681004,1,0,0.753,1.4684179998678424e-06,1.5,0,0,0,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False
76.5,530456,0,0,0.765,1.8851669409584566e-06,0.0,0,0,0,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False
53.4,451831,0,0,0.534,2.213211990297279e-06,0.0,0,0,0,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False
60.4,626169,0,0,0.604,1.5970103965376814e-06,0.0,0,0,0,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False
78.9,372485,0,0,0.789,2.684664658537502e-06,0.0,0,0,1,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
83.8,464774,0,0,0.838,2.1515787208864502e-06,0.0,0,0,1,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False
60.7,65294,0,0,0.607,1.5315108354391606e-05,0.0,0,1,0,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False
64.1,253497,0,0,0.6409999999999999,3.9448042982587635e-06,0.0,0,0,0,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False
