student_id,level,stream,gender,religion,minority_status,caste_category,previous_education_percentage,annual_income,other_scholarship,scholarship_id,scholarship_name,min_percentage,max_income,eligible,allowed_caste
S00338,UG,BCom Finance,Female,Muslim,1,General,78.8,343677,1,SCH_SM,State Merit Scholarship (Kerala),75,150000,0,ALL
S00225,PG,MA English,Male,Hindu,0,General,76.3,355614,0,SCH_SM,State Merit Scholarship (Kerala),75,150000,0,ALL
S00243,UG,BCom Finance,Male,Christian,1,General,64.7,475369,0,SCH_IN,INSPIRE Scholarship,80,500000,0,ALL
S00185,UG,BSc Chemistry,Female,Hindu,0,SC,54.5,641304,0,SCH_SM,State Merit Scholarship (Kerala),75,150000,0,ALL
S00411,UG,BA Economics,Male,Hindu,0,General,71.9,476620,0,SCH_PM,Post-Matric Scholarship (Minority),50,200000,0,General
S00188,UG,BA English,Female,Hindu,0,OBC,76.5,346311,0,SCH_PM,Post-Matric Scholarship (Minority),50,200000,0,General
S00362,UG,BSc Chemistry,Male,Muslim,1,General,75,79948,0,SCH_IN,INSPIRE Scholarship,80,500000,0,ALL
S00028,PG,MA English,Male,Hindu,0,ST,59.7,292801,0,SCH_IN,INSPIRE Scholarship,80,500000,0,ALL
S00241,UG,BA English,Male,Hindu,0,OBC,61.2,58739,0,SCH_EG,E-Grantz Scholarship (Kerala),,600000,1,"SC, ST, OBC"
S00227,UG,BA Economics,Male,Hindu,0,OBC,66.3,248515,1,SCH_SM,State Merit Scholarship (Kerala),75,150000,0,ALL
S00143,UG,BSc Mathematics,Male,Christian,1,General,75.3,576345,0,SCH_SM,State Merit Scholarship (Kerala),75,150000,0,ALL
S00261,PG,MCom Finance,Female,Hindu,0,SC,77.5,214770,0,SCH_PM,Post-Matric Scholarship (Minority),50,200000,0,General
S00162,UG,BA Economics,Female,Hindu,0,General,82.1,128973,0,SCH_SM,State Merit Scholarship (Kerala),75,150000,1,ALL
S00428,UG,BCom Finance,Female,Hindu,0,General,82.3,671512,1,SCH_EG,E-Grantz Scholarship (Kerala),,600000,0,"SC, ST, OBC"
S00126,PG,MA English,Female,Hindu,0,General,67.8,65831,1,SCH_EG,E-Grantz Scholarship (Kerala),,600000,0,"SC, ST, OBC"
S00266,UG,BSc Mathematics,Male,Muslim,1,General,63.7,377891,1,SCH_EG,E-Grantz Scholarship (Kerala),,600000,0,"SC, ST, OBC"
S00008,PG,MSc Mathematics,Male,Muslim,1,General,82.2,534183,0,SCH_EG,E-Grantz Scholarship (Kerala),,600000,0,"SC, ST, OBC"
S00255,PG,MA English,Female,Muslim,1,General,85,334059,0,SCH_EG,E-Grantz Scholarship (Kerala),,600000,0,"SC, ST, OBC"
